,started_on,started_hour,type,mode,purpose,duration_min,length_km,speed_kmh,geometry_anon
1,2019-06-17,14,Track,Airplane,,89.57,827.152,554.08,"LINESTRING (25.27567050884092 54.64387497322221, 13.26975787059708 52.55820994270272, 13.28494870780822 52.5559440404431)"
3,2019-06-17,15,Track,Walk,,4.4,0.216,2.95,GEOMETRYCOLLECTION EMPTY
5,2019-06-17,15,Track,Bus,,23.12,7.25,18.81,"MULTILINESTRING ((13.29538719466492 52.55082878334159, 13.299788384716 52.54823165237128, 13.30192647024089 52.54758967896623, 13.31843763160975 52.5465119153629, 13.31843763160975 52.54651191536291, 13.31864579350666 52.54636215232934, 13.32267735399602 52.54338833714341, 13.32268102870241 52.54338561599835, 13.32441529190727 52.54209090715943, 13.32553169151135 52.54141341848806, 13.3265213229434 52.54075798155134, 13.32816136832572 52.53414114227048, 13.32814084320529 52.53404072542458, 13.32850799064063 52.53354207387662, 13.32842713097123 52.53328571131041, 13.32844010680848 52.53309777936881, 13.32774741189465 52.53003094663918, 13.3290838509106 52.52957552503987), (13.35648963638273 52.52354640324855, 13.35696514950255 52.52351819186311, 13.35858142961931 52.52341946629922, 13.35907956744922 52.52336947714417, 13.35948827239115 52.52339689006549, 13.35956265636567 52.52341195150733, 13.35982452096011 52.52343436154189, 13.36042746012391 52.52351610202545, 13.3607615075285 52.52368788355373))"
8,2019-06-17,16,Track,Train,,19.8,30.572,92.64,"LINESTRING (13.37142731799023 52.4873089376181, 13.36954236380189 52.48481199933322, 13.36809777183247 52.48302892298028, 13.36774405989246 52.48201485241904, 13.36759533354843 52.48161509655491, 13.36712277178366 52.48142522918813, 13.36688712502446 52.48133261259816, 13.36677028033554 52.48128976849955, 13.36671177070182 52.48126803760116, 13.36668305189285 52.48116642287012, 13.36668264216825 52.4811649731536, 13.36366082008626 52.4754333489149, 13.36356281442973 52.47513533152244, 13.36356266341687 52.47513487231664, 13.3626682981778 52.47350996267313, 13.36243214771998 52.47308344879003, 13.36231424876073 52.47287061756855, 13.36403328381253 52.4682491071648, 13.36314062045252 52.46432196505467, 13.36256574069081 52.46178921836142, 13.36221631817316 52.46025425603526, 13.36199463422902 52.45928009032556, 13.36185572093051 52.45867001954319, 13.3617680931904 52.45828521663736, 13.36170929601828 52.45802584280028, 13.36159853484405 52.45750176983383, 13.36156747032322 52.45735479686243, 13.36156482629396 52.45734228738771, 13.36156312966013 52.45733426024585, 13.36150731831455 52.45707020469047, 13.36150623615311 52.4570650847505, 13.36097553204535 52.45671561280338, 13.360761111482 52.45661223692718, 13.36059472650036 52.4558454860981, 13.36059352167904 52.45583993392783, 13.36051322141266 52.45546985307705, 13.36051190972172 52.45546380828004, 13.36021142222751 52.45407903458749, 13.36021056123662 52.45407506628074, 13.36012162509586 52.45366515959533, 13.36012054569048 52.45366018456927, 13.36002102487758 52.45320148878554, 13.36001989415571 52.45319627718435, 13.35991021111338 52.45269073788831, 13.35990933115144 52.4526866820155, 13.35988636939461 52.45258084792179, 13.35987954948557 52.45254941388825, 13.35987825976194 52.45254346934487, 13.35987180572351 52.4525137216411, 13.35981710091161 52.45226157817137, 13.35981654859108 52.45225903242062, 13.35978317226674 52.45210519456165, 13.35978261973747 52.45210264783968, 13.35968927906932 52.45167242132226, 13.35968886305017 52.45167050378476, 13.35966574580668 52.45156395055954, 13.35966534948988 52.45156212383067, 13.3596115413223 52.45131410775635, 13.35961108427552 52.45131200109498, 13.35954473782006 52.45100619099054, 13.35954447040608 52.45100495839317, 13.35952344777948 52.45090805831561, 13.35952318125396 52.45090682981066, 13.35951227333502 52.45085655157578, 13.35951216961846 52.45085607351104, 13.35950919984228 52.45084238480673, 13.35950905163206 52.45084170165539, 13.35950302944069 52.45081394332644, 13.359502834046 52.45081304268525, 13.35946393245175 52.4506337318846, 13.35946343443844 52.45063143636094, 13.35942952330996 52.4504751276822, 13.35942946073178 52.45047483923569, 13.3594238429421 52.45044894471493, 13.35942379674527 52.45044873177611, 13.35939732767034 52.45032672571018, 13.35939725988325 52.45032641325273, 13.35938081120235 52.45025059479466, 13.35938072633178 52.45025020359204, 13.3593805501305 52.45024939140944, 13.359380549239 52.45024938730015, 13.3593726630303 52.45021303658984, 13.35937265248528 52.45021298798356, 13.35936994894148 52.45020052625161, 13.35936991654502 52.45020037692306, 13.35936991621711 52.4502003754116, 13.35936991520987 52.45020037076883, 13.27318920147621 52.33019116242518, 13.26634590667111 52.32066167424011, 13.27373199801572 52.31575455853074, 13.26413647440384 52.30980224486664, 13.2650847498687 52.29951671936252, 13.2681094320295 52.29648562665382, 13.27461149195584 52.2948418975793, 13.27615861781877 52.28821220868812, 13.27549349930701 52.28396642907661, 13.27547141619397 52.27596355996472, 13.27547194190087 52.27596122623273, 13.27573010146815 52.27481519738154, 13.27573052193555 52.27481333078293, 13.27576881978088 52.27464331353895, 13.27576927456584 52.27464129458509, 13.27581847635155 52.27442287016555)"
